id,name,common_name,formula,odor_description,taste_profiles
6428990,2-propionyl-2-thiazoline,2-propionyl-2-thiazoline,,cooked@nutty@roasted@meaty,umami
529251,2-propionyl-1-pyrroline,2-propionyl-1-pyrroline,,roast@roasted@fishy,
21265,Prenyl benzoate,Prenyl benzoate,,chocolate@fruity@balsam@tea@ylang,sweet
5281680,Quercetagetin,Quercetagetin,,bitter,bitter
4453,"1-(4-{[4,5-dihydroxy-6-(hydroxymethyl)-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl]oxy}-2,6-dihydroxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)propan-1-one","1-(4-{[4,5-dihydroxy-6-(hydroxymethyl)-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl]oxy}-2,6-dihydroxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)propan-1-one",,bland@sweet-like,sweet
5281697,Scutellarein,Scutellarein,,bitter,bitter
3819217,489-53-2,489-53-2,,bitter,bitter
250096,Benzyl tiglate,Benzyl tiglate,,earthy@mushroom@balsamic@rose,umami
5362583,Ethyl trans-4-decenoate,Ethyl trans-4-decenoate,,cognac@fruity@waxy@green,sweet
639665,Xanthohumol,Xanthohumol,,bitter,bitter
10925,Isoamyl mercaptan,Isoamyl mercaptan,,glue@onion,
513197,Isoxanthohumol,Isoxanthohumol,,bitter,bitter
7852,Propylamine,Propylamine,,ammoniacal,
5370052,3-Oxo-alpha-ionol,3-Oxo-alpha-ionol,,spicy@spice,
5280462,Vomifoliol,Vomifoliol,,fruity,sweet
6450832,Vitispirane,Vitispirane,,floral@earthy@woody@fruity,sweet
